eligible_name,eligible_name_key,reference_team,birth_place,athletic_eligible,matched_in_dataset,matched_name,matched_name_key,matched_team
Aihen Munoz,aihen munoz,Real Sociedad,Etxauri,True,True,Aihen Muñoz Capellán,aihen munoz capellan,Real Sociedad
Aimar Oroz,aimar oroz,Osasuna,Pamplona,True,True,Aimar Oroz,aimar oroz,Osasuna
Aitor Paredes,aitor paredes,Athletic Club,Bilbao,True,True,Aitor Paredes Casamichana,aitor paredes casamichana,Athletic Club
Alejandro Remiro,alejandro remiro,Real Sociedad,Cascante,True,True,Alejandro Remiro Gargallo,alejandro remiro gargallo,Real Sociedad
Alex Berenguer,alex berenguer,Athletic Club,Pamplona,True,True,Alejandro Berenguer Remiro,alejandro berenguer remiro,Athletic Club
Alex Sola,alex sola,Getafe,San Sebastian,True,True,Álex Sola López Ocaña,alex sola lopez ocana,Getafe
Alvaro Djalo,alvaro djalo,Athletic Club,,True,True,Álvaro Djaló Dias Fernandes,alvaro djalo dias fernandes,Athletic Club
Ander Barrenetxea,ander barrenetxea,Real Sociedad,San Sebastian,True,True,Ander Barrenetxea Muguruza,ander barrenetxea muguruza,Real Sociedad
Ander Guevara,ander guevara,Alaves,Vitoria-Gasteiz,True,True,Ander Guevara Lajo,ander guevara lajo,Deportivo Alavés
Andoni Gorosabel,andoni gorosabel,Athletic Club,Arrasate,True,True,Andoni Gorosabel Espinosa,andoni gorosabel espinosa,Athletic Club
Aritz Elustondo,aritz elustondo,Real Sociedad,Beasain,True,True,Aritz Elustondo Irribaria,aritz elustondo irribaria,Real Sociedad
Benat Prados,benat prados,Athletic Club,Pamplona,True,True,Beñat Prados Díaz,benat prados diaz,Athletic Club
Benat Turrientes,benat turrientes,Real Sociedad,Beasain,True,True,Beñat Turrientes Imaz,benat turrientes imaz,Real Sociedad
Cesar Azpilicueta,cesar azpilicueta,Atletico Madrid,Pamplona / Zizur Mayor,True,True,César Azpilicueta Tanco,cesar azpilicueta tanco,Atlético Madrid
Dani Vivian,dani vivian,Athletic Club,Vitoria-Gasteiz,True,True,Daniel Vivian Moreno,daniel vivian moreno,Athletic Club
Gorka Guruzeta,gorka guruzeta,Athletic Club,San Sebastian,True,True,Gorka Guruzeta Rodríguez,gorka guruzeta rodriguez,Athletic Club
Igor Zubeldia,igor zubeldia,Real Sociedad,Azkoitia,True,True,Igor Zubeldia Elorza,igor zubeldia elorza,Real Sociedad
Iker Munoz,iker munoz,Osasuna,Villafranca,True,True,Iker Muñoz Cameros,iker munoz cameros,Osasuna
Inaki Williams,inaki williams,Athletic Club,Bilbao,True,True,Iñaki Williams Arthuer,inaki williams arthuer,Athletic Club
Inigo Lekue,inigo lekue,Athletic Club,Bilbao,True,True,Íñigo Lekue Martínez,inigo lekue martinez,Athletic Club
Inigo Martinez,inigo martinez,Barcelona,Ondarroa,True,True,Íñigo Martínez Berridi,inigo martinez berridi,Barcelona
Inigo Ruiz de Galarreta,inigo ruiz de galarreta,Athletic Club,San Sebastian,True,True,Iñigo Ruiz de Galarreta Etxeberria,inigo ruiz de galarreta etxeberria,Athletic Club
Ivan Martin,ivan martin,Girona,Bilbao,True,True,Iván Martín Núñez,ivan martin nunez,Girona
Jesus Areso,jesus areso,Osasuna,Cascante,True,True,Jesús Areso Blanco,jesus areso blanco,Osasuna
Jon Ander Olasagasti,jon ander olasagasti,Real Sociedad,San Sebastian,True,True,Jon Ander Olasagasti Imizcoz,jon ander olasagasti imizcoz,Real Sociedad
Jon Guridi,jon guridi,Alaves,Azpeitia,True,True,Jon Guridi Aldalur,jon guridi aldalur,Deportivo Alavés
Jon Martin,jon martin,Real Sociedad,San Sebastian,True,True,Jon Martín Vicente,jon martin vicente,Real Sociedad
Jon Moncayola,jon moncayola,Osasuna,Garinoain,True,True,Jon Moncayola Tollar,jon moncayola tollar,Osasuna
Jon Pacheco,jon pacheco,Real Sociedad,Elizondo,True,True,Jon Pacheco Dozagarat,jon pacheco dozagarat,Real Sociedad
Jorge Herrando,jorge herrando,Osasuna,Pamplona,True,True,Jorge Herrando Oroz,jorge herrando oroz,Osasuna
Julen Agirrezabala,julen agirrezabala,Athletic Club,San Sebastian,True,True,Julen Agirrezabala Astúlez,julen agirrezabala astulez,Athletic Club
Maroan Sannadi,maroan sannadi,Athletic Club,Vitoria-Gasteiz,True,True,Maroan Sannadi Harrouch,maroan sannadi harrouch,Athletic Club
Martin Zubimendi,martin zubimendi,Real Sociedad,San Sebastian,True,True,Martín Zubimendi Ibáñez,martin zubimendi ibanez,Real Sociedad
Mikel Jauregizar,mikel jauregizar,Athletic Club,Bilbao,True,True,Mikel Jauregizar Alboniga,mikel jauregizar alboniga,Athletic Club
Mikel Oyarzabal,mikel oyarzabal,Real Sociedad,Eibar,True,True,Mikel Oyarzabal Ugarte,mikel oyarzabal ugarte,Real Sociedad
Mikel Vesga,mikel vesga,Athletic Club,Vitoria-Gasteiz,True,True,Mikel Vesga Arruti,mikel vesga arruti,Athletic Club
Nico Williams,nico williams,Athletic Club,Pamplona,True,True,Nicholas Williams Arthuer,nicholas williams arthuer,Athletic Club
Oihan Sancet,oihan sancet,Athletic Club,Pamplona,True,True,Oihan Sancet Tirapu,oihan sancet tirapu,Athletic Club
Oscar de Marcos,oscar de marcos,Athletic Club,Laguardia,True,True,Óscar de Marcos Arana,oscar de marcos arana,Athletic Club
Pablo Ibanez,pablo ibanez,Osasuna,Pamplona,True,True,Pablo Ibáñez Lumbreras,pablo ibanez lumbreras,Osasuna
Robert Navarro,robert navarro,Mallorca,,True,True,Robert Navarro Muñoz,robert navarro munoz,Mallorca
Unai Gomez,unai gomez,Athletic Club,Bermeo,True,True,Unai Gómez Etxebarria,unai gomez etxebarria,Athletic Club
Unai Lopez,unai lopez,Rayo Vallecano,Errenteria,True,True,Unai López Cabrera,unai lopez cabrera,Rayo Vallecano
Unai Nunez,unai nunez,Athletic Club,Portugalete,True,True,Unai Núñez Gestoso,unai nunez gestoso,Athletic Club
Unai Simon,unai simon,Athletic Club,Vitoria-Gasteiz,True,True,Unai Simón Mendibil,unai simon mendibil,Athletic Club
Yeray Alvarez,yeray alvarez,Athletic Club,Barakaldo,True,True,Yeray Álvarez López,yeray alvarez lopez,Athletic Club
Yuri Berchiche,yuri berchiche,Athletic Club,Zarautz,True,True,Yuri Berchiche Izeta,yuri berchiche izeta,Athletic Club
Aimar Dunabeitia,aimar dunabeitia,Athletic Club,Gernika / Guernica,True,False,,,
Aingeru Olabarrieta,aingeru olabarrieta,Athletic Club,Luiaondo,True,False,,,
Aitor Fernandez,aitor fernandez,Osasuna,Mondragon,True,False,,,
Aitor Fraga,aitor fraga,Real Sociedad,Hernani,True,False,,,
Alejandro Rego,alejandro rego,Athletic Club,Bilbao,True,False,,,
Alex Padilla,alex padilla,Athletic Club,,True,False,,,
Alvaro Odriozola,alvaro odriozola,Real Sociedad,San Sebastian,True,False,,,
Ander Astralaga,ander astralaga,Barcelona,Berango,True,False,,,
Ander Izagirre,ander izagirre,Athletic Club,Amorebieta-Etxano,True,False,,,
Asier Hierro,asier hierro,Athletic Club,Basauri,True,False,,,
Asier Osambela,asier osambela,Osasuna,Pamplona,True,False,,,
Asier Villalibre,asier villalibre,Alaves,Gernika / Guernica,True,False,,,
Benat Gerenabarrena,benat gerenabarrena,Athletic Club,Lekeitio,True,False,,,
Carlos Lumbreras,carlos lumbreras,Osasuna,Sarriguren,True,False,,,
Dani Rodriguez,dani rodriguez,Barcelona,Astigarraga,True,False,,,
Egoitz Munoz,egoitz munoz,Alaves,Vitoria-Gasteiz,True,False,,,
Endika Bujan,endika bujan,Athletic Club,Barakaldo,True,False,,,
Eneko Ebro,eneko ebro,Athletic Club,Bilbao,True,False,,,
Ibon Sanchez,ibon sanchez,Athletic Club,Getxo,True,False,,,
Iker Varela,iker varela,Athletic Club,Barakaldo,True,False,,,
Inaki Ruperez,inaki ruperez,Real Sociedad,Ansoain,True,False,,,
Inigo Arguibide,inigo arguibide,Osasuna,Pamplona,True,False,,,
Javier Marton,javier marton,Athletic Club,,True,False,,,
Jon Garcia,jon garcia,Osasuna,Pamplona,True,False,,,
Julen Lartitegi,julen lartitegi,Alaves,Busturia,True,False,,,
Kike Barja,kike barja,Osasuna,Pamplona,True,False,,,
Lander Pinillos,lander pinillos,Alaves,Pamplona,True,False,,,
Mikel Santos,mikel santos,Athletic Club,Bilbao,True,False,,,
Oier Gastesi,oier gastesi,Athletic Club,Altsasu,True,False,,,
Pablo Valencia,pablo valencia,Osasuna,Bariain,True,False,,,
Peio Canales,peio canales,Athletic Club,Barrika,True,False,,,
Rafa Fernandez,rafa fernandez,Osasuna,Pamplona,True,False,,,
Unai Garcia,unai garcia,Osasuna,Esquiroz,True,False,,,
Unai Marrero,unai marrero,Real Sociedad,San Sebastian,True,False,,,
Urko Gonzalez de Zarate,urko gonzalez de zarate,Espanyol,Vitoria-Gasteiz,True,False,,,
